emoji,is_a_symbol,category
🍎,1,food-drink
🍏,1,food-drink
🍐,1,food-drink
🍑,1,food-drink
🍒,1,food-drink
🍓,1,food-drink
🍔,1,food-drink
🍕,1,food-drink
🍖,1,food-drink
🍗,1,food-drink
🍘,1,food-drink
🍙,1,food-drink
🍚,1,food-drink
🍛,1,food-drink
🍜,1,food-drink
🍝,1,food-drink
🍞,1,food-drink
🍟,1,food-drink
🍠,1,food-drink
🍡,1,food-drink
🍢,1,food-drink
🍣,1,food-drink
🍤,1,food-drink
🍥,1,food-drink
🍦,1,food-drink
🍧,1,food-drink
🍨,1,food-drink
🍩,1,food-drink
🍪,1,food-drink
🍫,1,food-drink
🍬,1,food-drink
🍭,1,food-drink
🍮,1,food-drink
🍯,1,food-drink
🍰,1,food-drink
🍱,1,food-drink
🍲,1,food-drink
🍳,1,food-drink
🍴,3,food-drink
🍵,1,food-drink
🍶,1,food-drink
🍷,1,food-drink
🍸,1,food-drink
🍹,1,food-drink
🍺,1,food-drink
🍻,1,food-drink
🍼,1,food-drink
🍽️,2,food-drink
🍾,1,food-drink
🍿,1,food-drink
🎀,1,objects
🎁,1,objects
🎂,1,food-drink
🎃,1,clothes & accessories
🎄,1,nature
🎅,1,people
🎆,1,travel-places
🎇,1,travel-places
🎈,1,objects
🎉,1,objects
🎊,1,objects
🎋,1,nature
🎍,1,nature
🎎,1,Japanese symbols and objects
🎏,1,Japanese symbols and objects
🎐,1,Japanese symbols and objects
🎑,1,travel-places
🎒,1,clothes & accessories
🎓,1,clothes & accessories
🎖️,1,activity
🎗️,1,activity
🎙️,1,objects
🎚️,1,objects
🎛️,1,objects
🎞️,2,objects
🎟️,1,activity
🎠,1,travel-places
🎡,1,travel-places
🎢,1,travel-places
🎣,1,activity
🎤,1,activity
🎥,2,objects
🎦,5,activity
🎧,1,activity
🎨,1,activity
🎩,1,clothes & accessories
🎪,3,activity
🎫,1,activity
🎬,3,activity
🎭,3,activity
🎮,1,activity
🎯,1,activity
🎰,1,activity
🎱,1,activity
🎲,1,activity
🎳,1,activity
🎴,1,Japanese symbols and objects
🎵,3,symbols & signs
🎶,3,symbols & signs
🎷,1,activity
🎸,1,activity
🎹,1,activity
🎺,1,activity
🎻,1,activity
🎼,1,activity
🎽,1,activity
🎾,1,activity
🎿,1,activity
🏀,1,activity
🏂,1,activity
🏃,1,activity
🏄,1,activity
🏅,1,activity
🏆,1,activity
🏇,1,activity
🏈,1,activity
🏉,1,activity
🏊,1,activity
🏋️,1,activity
🏌️,1,activity
🏍️,1,travel-places
🏎️,1,travel-places
🏏,1,activity
🏐,1,activity
🏑,1,activity
🏒,1,activity
🏓,1,activity
🏔️,1,travel-places
🏕️,1,travel-places
🏖️,1,travel-places
🏗️,1,travel-places
🏘️,1,travel-places
🏙️,1,travel-places
🏚️,1,travel-places
🏛️,1,travel-places
🏜️,1,travel-places
🏝️,1,travel-places
🏞️,1,travel-places
🏟️,1,travel-places
🏠,1,travel-places
🏡,1,travel-places
🏢,1,travel-places
🏣,1,travel-places
🏤,1,travel-places
🏥,1,travel-places
🏦,1,travel-places
🏧,1,public information symbols
🏨,1,travel-places
🏩,1,travel-places
🏪,1,travel-places
🏫,1,travel-places
🏬,1,travel-places
🏭,1,travel-places
🏮,1,objects
🏯,1,travel-places
🏰,1,travel-places
🏵️,1,nature
🏷️,1,objects
🏸,1,activity
🏹,1,activity
🏺,1,objects
🐀,1,nature
🐁,1,nature
🐂,1,nature
🐃,1,nature
🐄,1,nature
🐅,1,nature
🐆,1,nature
🐇,1,nature
🐈,1,nature
🐉,1,nature
🐊,1,nature
🐋,1,nature
🐌,1,nature
🐍,1,nature
🐎,1,nature
🐏,1,nature
🐐,1,nature
🐑,1,nature
🐒,1,nature
🐓,1,nature
🐔,1,nature
🐕,1,nature
🐕‍🦺,1,nature
🐖,1,nature
🐗,1,nature
🐘,1,nature
🐙,1,nature
🐚,1,nature
🐛,1,nature
🐜,1,nature
🐝,1,nature
🐞,1,nature
🐟,1,nature
🐠,1,nature
🐡,1,nature
🐢,1,nature
🐣,1,nature
🐤,1,nature
🐥,1,nature
🐦,1,nature
🐧,1,nature
🐨,1,nature
🐩,1,nature
🐪,1,nature
🐫,1,nature
🐬,1,nature
🐭,1,nature
🐮,1,nature
🐯,1,nature
🐰,1,nature
🐱,1,nature
🐲,1,nature
🐳,1,nature
🐴,1,nature
🐵,1,nature
🐶,1,nature
🐷,1,nature
🐸,1,nature
🐹,1,nature
🐺,1,nature
🐻,1,nature
🐼,1,nature
🐽,1,nature
🐾,1,nature
🐿️,1,nature
👀,1,people
👁️,1,people
👁️‍🗨,3,symbols & signs
👂,1,people
👃,1,people
👄,1,people
👅,1,people
👆,1,hands & gestures
👇,1,hands & gestures
👈,1,hands & gestures
👉,1,hands & gestures
👊,1,hands & gestures
👋,1,hands & gestures
👌,1,hands & gestures
👍,1,hands & gestures
👎,1,hands & gestures
👏,1,hands & gestures
👐,1,hands & gestures
👑,1,clothes & accessories
👒,1,clothes & accessories
👓,1,clothes & accessories
👔,1,clothes & accessories
👕,1,clothes & accessories
👖,1,clothes & accessories
👗,1,clothes & accessories
👘,1,clothes & accessories
👙,1,clothes & accessories
👚,1,clothes & accessories
👛,1,clothes & accessories
👜,1,clothes & accessories
👝,1,clothes & accessories
👞,1,clothes & accessories
👟,1,clothes & accessories
👠,1,clothes & accessories
👡,1,clothes & accessories
👢,1,clothes & accessories
👣,1,people
👤,1,people
👥,1,people
👦,1,people
👧,1,people
👨,1,people
👨‍⚕️,1,professions
👨‍⚖️,1,professions
👨‍✈️,1,professions
👨‍❤️‍👨,1,people
👨‍❤️‍💋‍👨,1,people
👨‍🌾,1,professions
👨‍🍳,1,professions
👨‍🎓,1,professions
👨‍🎤,1,professions
👨‍🎨,1,professions
👨‍🏫,1,professions
👨‍🏭,1,professions
👨‍👦,1,people
👨‍👦‍👦,1,people
👨‍👧,1,people
👨‍👧‍👦,1,people
👨‍👧‍👧,1,people
👨‍👨‍👦,1,people
👨‍👨‍👦‍👦,1,people
👨‍👨‍👧,1,people
👨‍👨‍👧‍👦,1,people
👨‍👨‍👧‍👧,1,people
👨‍👩‍👦,1,people
👨‍👩‍👦‍👦,1,people
👨‍👩‍👧,1,people
👨‍👩‍👧‍👦,1,people
👨‍👩‍👧‍👧,1,people
👨‍💻,1,professions
👨‍💼,1,professions
👨‍🔧,1,professions
👨‍🔬,1,professions
👨‍🚀,1,professions
👨‍🚒,1,professions
👨‍🦯,1,people
👨‍🦰,1,people
👨‍🦱,1,people
👨‍🦲,1,people
👨‍🦳,1,people
👨‍🦼,1,people
👨‍🦽,1,people
👩,1,people
👩‍⚕️,1,professions
👩‍⚖️,1,professions
👩‍✈️,1,professions
👩‍❤️‍👨,1,people
👩‍❤️‍👩,1,people
👩‍❤️‍💋‍👨,1,people
👩‍❤️‍💋‍👩,1,people
👩‍🌾,1,professions
👩‍🍳,1,professions
👩‍🎓,1,professions
👩‍🎤,1,professions
👩‍🎨,1,professions
👩‍🏫,1,professions
👩‍🏭,1,professions
👩‍👦,1,people
👩‍👦‍👦,1,people
👩‍👧,1,people
👩‍👧‍👦,1,people
👩‍👧‍👧,1,people
👩‍👩‍👦,1,people
👩‍👩‍👦‍👦,1,people
👩‍👩‍👧,1,people
👩‍👩‍👧‍👦,1,people
👩‍👩‍👧‍👧,1,people
👩‍💻,1,professions
👩‍💼,1,professions
👩‍🔧,1,professions
👩‍🔬,1,professions
👩‍🚀,1,professions
👩‍🚒,1,professions
👩‍🦯,1,people
👩‍🦰,1,people
👩‍🦱,1,people
👩‍🦲,1,people
👩‍🦳,1,people
👩‍🦼,1,people
👩‍🦽,1,people
👪,1,people
👫,1,people
👬,1,people
👭,1,people
👮,1,professions
👯,1,people
👰,1,people
👱,1,people
👲,1,people
👳,1,people
👴,1,people
👵,1,people
👶,1,people
👷,1,professions
👸,1,professions
👹,1,faces
👺,1,faces
👻,1,faces
👼,1,people
👽,1,faces
👾,1,faces
👿,1,faces
💀,4,faces
💁,1,people
💂,1,professions
💃,1,people
💄,1,clothes & accessories
💅,1,hands & gestures
💆,1,people
💇,1,people
💈,4,objects
💉,1,objects
💊,1,objects
💋,1,people
💌,1,objects
💍,1,clothes & accessories
💎,1,objects
💏,1,people
💐,1,nature
💑,1,people
💒,1,travel-places
💓,4,hearts
💔,4,hearts
💕,4,hearts
💖,4,hearts
💗,4,hearts
💘,4,hearts
💙,4,hearts
💚,4,hearts
💛,4,hearts
💜,4,hearts
💝,4,hearts
💞,4,hearts
💟,4,hearts
💠,5,Japanese symbols and objects
💡,1,objects
💢,5,Japanese symbols and objects
💣,1,objects
💤,4,symbols & signs
💥,1,nature
💦,1,nature
💧,1,nature
💨,1,nature
💩,1,faces
💪,1,hands & gestures
💫,3,nature
💬,4,symbols & signs
💭,4,symbols & signs
💮,4,nature
💯,5,symbols & signs
💰,5,objects
💱,5,Japanese symbols and objects
💲,5,symbols & signs
💳,1,objects
💴,1,travel-places
💵,1,travel-places
💶,1,travel-places
💷,1,travel-places
💸,1,objects
💹,4,Japanese symbols and objects
💺,1,travel-places
💻,1,objects
💼,1,clothes & accessories
💽,1,objects
💾,3,objects
💿,1,objects
📀,1,objects
📁,3,objects
📂,3,objects
📃,1,objects
📄,1,objects
📅,1,objects
📆,1,objects
📇,1,objects
📈,3,objects
📉,3,objects
📊,3,objects
📋,1,objects
📌,1,objects
📍,1,objects
📎,1,objects
📏,1,objects
📐,1,objects
📑,1,objects
📒,1,objects
📓,1,objects
📔,1,objects
📕,1,objects
📖,1,objects
📗,1,objects
📘,1,objects
📙,1,objects
📚,1,objects
📛,4,Japanese symbols and objects
📜,1,objects
📝,1,objects
📞,4,objects
📟,1,objects
📠,1,objects
📡,1,objects
📢,3,objects
📣,3,objects
📤,4,objects
📥,4,objects
📦,1,objects
📧,4,objects
📨,4,objects
📩,4,objects
📪,1,objects
📫,1,objects
📬,1,objects
📭,1,objects
📮,4,objects
📯,5,objects
📰,1,objects
📱,1,objects
📲,1,objects
📳,1,buttons & mobile
📴,4,buttons & mobile
📵,5,public information symbols
📶,5,buttons & mobile
📷,1,objects
📸,1,objects
📹,1,objects
📺,1,objects
📻,1,objects
📼,1,objects
📽️,4,objects
📿,1,objects
🔀,5,buttons & mobile
🔁,5,buttons & mobile
🔂,5,buttons & mobile
🔃,5,arrows
🔄,5,arrows
🔅,2,buttons & mobile
🔆,2,buttons & mobile
🔇,5,buttons & mobile
🔈,5,buttons & mobile
🔉,5,buttons & mobile
🔊,5,buttons & mobile
🔋,3,objects
🔌,1,objects
🔍,2,objects
🔎,2,objects
🔏,2,objects
🔐,3,objects
🔑,1,objects
🔒,3,objects
🔓,3,objects
🔔,4,buttons & mobile
🔕,4,buttons & mobile
🔖,1,objects
🔗,1,objects
🔘,3,geometrical
🔙,5,letters & numbers
🔚,5,letters & numbers
🔛,5,letters & numbers
🔜,5,letters & numbers
🔝,5,letters & numbers
🔞,5,public information symbols
🔟,5,letters & numbers
🔠,5,letters & numbers
🔡,5,letters & numbers
🔢,5,letters & numbers
🔣,5,letters & numbers
🔤,5,letters & numbers
🔥,1,nature
🔦,1,objects
🔧,2,objects
🔨,1,objects
🔩,1,objects
🔪,1,objects
🔫,1,objects
🔬,1,objects
🔭,1,objects
🔮,1,objects
🔯,5,religious
🔰,5,Japanese symbols and objects
🔱,5,symbols & signs
🔲,3,geometrical
🔳,3,geometrical
🔴,3,geometrical
🔵,3,geometrical
🔶,3,geometrical
🔷,3,geometrical
🔸,3,geometrical
🔹,3,geometrical
🔺,3,geometrical
🔻,3,geometrical
🔼,5,buttons & mobile
🔽,5,buttons & mobile
🕉️,5,religious
🕊️,5,nature
🕋,1,travel-places
🕌,1,travel-places
🕍,1,travel-places
🕎,5,religious
🕯️,1,objects
🕰️,1,objects
🕳️,1,objects
🕴️,1,people
🕵️,1,professions
🕶️,1,clothes & accessories
🕷️,1,nature
🕸️,1,nature
🕹️,1,objects
🕺,1,people
🖇️,1,objects
🖊️,1,objects
🖋️,1,objects
🖌️,1,objects
🖍️,1,objects
🖐️,1,hands & gestures
🖕,1,hands & gestures
🖖,1,hands & gestures
🖤,4,hearts
🖥️,1,objects
🖨️,1,objects
🖱️,1,objects
🖲️,1,objects
🖼️,1,objects
🗂️,1,objects
🗃️,1,objects
🗄️,1,objects
🗑️,1,objects
🗒️,1,objects
🗓️,1,objects
🗜️,1,objects
🗝️,1,objects
🗞️,1,objects
🗡️,1,objects
🗣️,1,people
🗨️,3,symbols & signs
🗯️,3,symbols & signs
🗳️,1,objects
🗺️,1,objects
🗻,1,travel-places
🗼,1,travel-places
🗽,4,travel-places
🗾,1,travel-places
🗿,1,travel-places
😀,1,faces
😁,1,faces
😂,1,faces
😃,1,faces
😄,1,faces
😅,1,faces
😆,1,faces
😇,1,faces
😈,1,faces
😉,1,faces
😊,1,faces
😋,1,faces
😌,1,faces
😍,1,faces
😎,1,faces
😏,1,faces
😐,1,faces
😑,1,faces
😒,1,faces
😓,1,faces
😔,1,faces
😕,1,faces
😖,1,faces
😗,1,faces
😘,1,faces
😙,1,faces
😚,1,faces
😛,1,faces
😜,1,faces
😝,1,faces
😞,1,faces
😟,1,faces
😠,1,faces
😡,1,faces
😢,1,faces
😣,1,faces
😤,1,faces
😥,1,faces
😦,1,faces
😧,1,faces
😨,1,faces
😩,1,faces
😪,1,faces
😫,1,faces
😬,1,faces
😭,1,faces
😮,1,faces
😯,1,faces
😰,1,faces
😱,1,faces
😲,1,faces
😳,1,faces
😴,1,faces
😵,1,faces
😶,1,faces
😷,1,faces
😸,1,faces
😹,1,faces
😺,1,faces
😻,1,faces
😼,1,faces
😽,1,faces
😾,1,faces
😿,1,faces
🙀,1,faces
🙁,1,faces
🙂,1,faces
🙃,1,faces
🙄,1,faces
🙅,1,people
🙆,1,people
🙇,1,people
🙈,1,nature
🙉,1,nature
🙊,1,nature
🙋,1,people
🙌,1,hands & gestures
🙍,1,people
🙎,1,people
🙏,1,hands & gestures
🚀,1,travel-places
🚁,1,travel-places
🚂,1,travel-places
🚃,1,travel-places
🚄,1,travel-places
🚅,1,travel-places
🚆,1,travel-places
🚇,3,travel-places
🚈,1,travel-places
🚉,1,travel-places
🚊,1,travel-places
🚋,1,travel-places
🚌,1,travel-places
🚍,1,travel-places
🚎,1,travel-places
🚏,1,travel-places
🚐,1,travel-places
🚑,1,travel-places
🚒,1,travel-places
🚓,1,travel-places
🚔,1,travel-places
🚕,1,travel-places
🚖,1,travel-places
🚗,1,travel-places
🚘,1,travel-places
🚙,1,travel-places
🚚,1,travel-places
🚛,1,travel-places
🚜,1,travel-places
🚝,1,travel-places
🚞,1,travel-places
🚟,1,travel-places
🚠,1,travel-places
🚡,1,travel-places
🚢,1,travel-places
🚣,1,activity
🚤,1,travel-places
🚥,3,travel-places
🚦,3,travel-places
🚧,1,travel-places
🚨,1,travel-places
🚪,1,objects
🚫,5,public information symbols
🚬,2,objects
🚭,5,public information symbols
🚮,5,public information symbols
🚯,5,public information symbols
🚰,5,public information symbols
🚱,5,public information symbols
🚲,2,travel-places
🚳,5,public information symbols
🚴,1,activity
🚵,1,activity
🚶,1,people
🚷,5,public information symbols
🚸,5,public information symbols
🚹,5,public information symbols
🚺,5,public information symbols
🚻,5,public information symbols
🚼,5,public information symbols
🚽,1,objects
🚾,5,public information symbols
🚿,1,objects
🛀,1,objects
🛁,1,objects
🛂,5,travel-places
🛃,5,travel-places
🛄,5,travel-places
🛅,5,travel-places
🛋️,1,objects
🛌,1,objects
🛍️,1,objects
🛎️,1,objects
🛏️,1,objects
🛐,5,religious
🛑,3,geometrical
🛒,1,objects
🛕,1,travel-places
🛠️,3,objects
🛡️,4,objects
🛢️,1,objects
🛣️,1,travel-places
🛤️,1,travel-places
🛥️,1,travel-places
🛩️,1,travel-places
🛫,1,travel-places
🛬,1,travel-places
🛰️,1,travel-places
🛳️,1,travel-places
🛴,1,travel-places
🛵,1,travel-places
🛶,1,activity
🛷,1,activity
🛸,1,travel-places
🛹,1,activity
🛺,1,travel-places
🟠,3,geometrical
🟡,3,geometrical
🟢,3,geometrical
🟣,3,geometrical
🟤,3,geometrical
🟥,3,geometrical
🟦,3,geometrical
🟧,3,geometrical
🟨,3,geometrical
🟩,3,geometrical
🟪,3,geometrical
🟫,3,geometrical
🤍,4,hearts
🤎,4,hearts
🤏,1,hands & gestures
🤐,1,faces
🤑,1,faces
🤒,1,faces
🤓,1,faces
🤔,1,faces
🤕,1,faces
🤖,1,faces
🤗,1,faces
🤘,1,hands & gestures
🤙,1,hands & gestures
🤚,1,hands & gestures
🤛,1,hands & gestures
🤜,1,hands & gestures
🤝,1,hands & gestures
🤞,1,hands & gestures
🤟,1,hands & gestures
🤠,1,faces
🤡,1,faces
🤢,1,faces
🤣,1,faces
🤤,1,faces
🤥,1,faces
🤦,1,people
🤧,1,faces
🤨,1,faces
🤩,1,faces
🤪,1,faces
🤫,1,faces
🤬,1,faces
🤭,1,faces
🤮,1,faces
🤯,1,faces
🤰,1,people
🤱,1,people
🤲,1,hands & gestures
🤳,1,hands & gestures
🤴,1,professions
🤵,1,people
🤶,1,people
🤷,1,people
🤸,1,activity
🤹,1,activity
🤺,1,activity
🤼,1,activity
🤽,1,activity
🤾,1,activity
🤿,1,objects
🥀,1,nature
🥁,1,activity
🥂,1,food-drink
🥃,1,food-drink
🥄,1,food-drink
🥅,1,activity
🥇,1,activity
🥈,1,activity
🥉,1,activity
🥊,1,activity
🥋,1,activity
🥌,1,activity
🥍,1,activity
🥎,1,activity
🥏,1,activity
🥐,1,food-drink
🥑,1,food-drink
🥒,1,food-drink
🥓,1,food-drink
🥔,1,food-drink
🥕,1,food-drink
🥖,1,food-drink
🥗,1,food-drink
🥘,1,food-drink
🥙,1,food-drink
🥚,1,food-drink
🥛,1,food-drink
🥜,1,food-drink
🥝,1,food-drink
🥞,1,food-drink
🥟,1,food-drink
🥠,1,food-drink
🥡,1,food-drink
🥢,1,food-drink
🥣,1,food-drink
🥤,1,food-drink
🥥,1,food-drink
🥦,1,food-drink
🥧,1,food-drink
🥨,1,food-drink
🥩,1,food-drink
🥪,1,food-drink
🥫,1,food-drink
🥬,1,food-drink
🥭,1,food-drink
🥮,1,food-drink
🥯,1,food-drink
🥰,1,faces
🥱,1,faces
🥳,1,faces
🥴,1,faces
🥵,1,faces
🥶,1,faces
🥺,1,faces
🥻,1,clothes & accessories
🥼,1,clothes & accessories
🥽,1,clothes & accessories
🥾,1,clothes & accessories
🥿,1,clothes & accessories
🦀,1,nature
🦁,1,nature
🦂,1,nature
🦃,1,nature
🦄,1,nature
🦅,1,nature
🦆,1,nature
🦇,1,nature
🦈,1,nature
🦉,1,nature
🦊,1,nature
🦋,1,nature
🦌,1,nature
🦍,1,nature
🦎,1,nature
🦏,1,nature
🦐,1,nature
🦑,1,nature
🦒,1,nature
🦓,1,nature
🦔,1,nature
🦕,1,nature
🦖,1,nature
🦗,1,nature
🦘,1,nature
🦙,1,nature
🦚,1,nature
🦛,1,nature
🦜,1,nature
🦝,1,nature
🦞,1,nature
🦟,1,nature
🦠,1,nature
🦡,1,nature
🦢,1,nature
🦥,1,nature
🦦,1,nature
🦧,1,nature
🦨,1,nature
🦩,1,nature
🦪,1,food-drink
🦮,1,nature
🦯,1,objects
🦰,1,people
🦱,1,people
🦲,1,people
🦳,1,people
🦴,1,people
🦵,1,people
🦶,1,people
🦷,1,people
🦸,1,people
🦹,1,people
🦺,1,clothes & accessories
🦻,1,people
🦼,1,objects
🦽,1,objects
🦾,1,people
🦿,1,people
🧀,1,food-drink
🧁,1,food-drink
🧂,1,food-drink
🧃,1,food-drink
🧄,1,food-drink
🧅,1,food-drink
🧆,1,food-drink
🧇,1,food-drink
🧈,1,food-drink
🧉,1,food-drink
🧊,1,food-drink
🧍,1,people
🧎,1,people
🧏,1,people
🧐,1,faces
🧑,1,people
🧑‍🤝‍🧑,1,people
🧒,1,people
🧓,1,people
🧔,1,people
🧕,1,people
🧖,1,people
🧗,1,activity
🧘,1,people
🧙,1,people
🧚,1,people
🧛,1,people
🧜,1,people
🧝,1,people
🧞,1,people
🧟,1,people
🧠,1,people
🧡,4,hearts
🧢,1,clothes & accessories
🧣,1,clothes & accessories
🧤,1,clothes & accessories
🧥,1,clothes & accessories
🧦,1,clothes & accessories
🧧,1,objects
🧨,1,objects
🧩,1,activity
🧪,4,objects
🧫,1,objects
🧬,4,objects
🧭,4,objects
🧮,1,objects
🧯,1,objects
🧰,1,objects
🧱,1,objects
🧲,1,objects
🧳,1,clothes & accessories
🧴,1,objects
🧵,1,clothes & accessories
🧶,1,clothes & accessories
🧷,1,objects
🧸,1,objects
🧹,1,objects
🧺,1,objects
🧻,1,objects
🧼,1,objects
🧽,1,objects
🧾,1,objects
🧿,5,objects
🩰,1,clothes & accessories
🩱,1,clothes & accessories
🩲,1,clothes & accessories
🩳,1,clothes & accessories
🩸,1,people
🩹,1,objects
🩺,1,objects
🪀,1,objects
🪁,1,objects
🪂,1,travel-places
🪐,1,travel-places
🪑,1,objects
🪒,1,objects
🪓,1,objects
🪔,1,objects
🪕,1,objects
