emoji,is_a_symbol,category
#️⃣,5,symbols & signs
*️⃣,5,symbols & signs
©️,5,symbols & signs
®️,5,symbols & signs
‼️,5,symbols & signs
⁉️,5,symbols & signs
™️,5,symbols & signs
ℹ️,5,public information symbols
↔️,5,arrows
↕️,5,arrows
↖️,5,arrows
↗️,5,arrows
↘️,5,arrows
↙️,5,arrows
↩️,5,arrows
↪️,5,arrows
⌚,2,objects
⌛,2,objects
⌨️,1,objects
⏏️,5,buttons & mobile
⏩,5,buttons & mobile
⏪,5,buttons & mobile
⏫,5,buttons & mobile
⏬,5,buttons & mobile
⏭️,5,buttons & mobile
⏮️,5,buttons & mobile
⏯️,5,buttons & mobile
⏰,1,objects
⏱️,1,objects
⏲️,1,objects
⏳,2,objects
⏸️,5,buttons & mobile
⏹️,5,buttons & mobile
⏺️,5,buttons & mobile
Ⓜ️,5,public information symbols
▪️,4,geometrical
▫️,4,geometrical
▶️,5,buttons & mobile
◀️,5,buttons & mobile
◻️,3,geometrical
◼️,3,geometrical
◽,3,geometrical
◾,3,geometrical
☀️,2,nature
☁️,1,nature
☂️,1,clothes & accessories
☃️,1,nature
☄️,1,nature
☎️,1,objects
☑️,5,symbols & signs
☔,1,nature
☕,1,food-drink
☘️,2,nature
☝️,1,hands & gestures
☠️,1,faces
☢️,5,public information symbols
☣️,5,public information symbols
☦️,5,religious
☪️,5,religious
☮️,5,symbols & signs
☯️,5,religious
☸️,5,religious
☹️,1,faces
☺️,1,faces
♈,5,astrological
♉,5,astrological
♊,5,astrological
♋,5,astrological
♌,5,astrological
♍,5,astrological
♎,5,astrological
♏,5,astrological
♐,5,astrological
♑,5,astrological
♒,5,astrological
♓,5,astrological
♟️,2,activity
♠️,5,symbols & signs
♣️,5,symbols & signs
♥️,5,symbols & signs
♦️,5,symbols & signs
♨️,2,Japanese symbols and objects
♻️,5,public information symbols
♾️,5,symbols & signs
♿,5,public information symbols
⚒️,1,objects
⚓,1,travel-places
⚔️,1,objects
⚕️,5,public information symbols
⚖️,4,objects
⚗️,1,objects
⚙️,1,objects
⚛️,5,symbols & signs
⚜️,5,symbols & signs
⚠️,5,public information symbols
⚡,5,nature
⚪,3,geometrical
⚫,3,geometrical
⚰️,2,objects
⚱️,1,objects
⚽,1,activity
⚾,1,activity
⛄,1,nature
⛅,2,nature
⛈️,2,nature
⛎,5,astrological
⛏️,1,objects
⛑️,1,clothes & accessories
⛓️,1,objects
⛔,5,public information symbols
⛩️,1,travel-places
⛪,1,travel-places
⛰️,1,travel-places
⛱️,1,travel-places
⛲,1,travel-places
⛳,1,activity
⛴️,1,travel-places
⛵,1,travel-places
⛷️,1,activity
⛸️,1,activity
⛹️,1,activity
⛺,1,travel-places
⛽,2,travel-places
✂️,1,objects
✅,5,symbols & signs
✈️,2,travel-places
✉️,2,objects
✊,1,hands & gestures
✋,1,hands & gestures
✌️,1,hands & gestures
✍️,1,hands & gestures
✏️,1,objects
✒️,1,objects
✔️,5,symbols & signs
✖️,5,symbols & signs
✝️,5,religious
✡️,5,religious
✨,1,nature
✳️,2,symbols & signs
✴️,2,symbols & signs
❄️,4,nature
❇️,5,symbols & signs
❌,5,symbols & signs
❎,5,symbols & signs
❓,5,symbols & signs
❔,5,symbols & signs
❕,5,symbols & signs
❗,5,symbols & signs
❣️,4,hearts
❤️,4,hearts
➕,5,symbols & signs
➖,5,symbols & signs
➗,5,symbols & signs
➡️,5,arrows
➰,5,Japanese symbols and objects
➿,5,Japanese symbols and objects
⤴️,5,arrows
⤵️,5,arrows
⬅️,5,arrows
⬆️,5,arrows
⬇️,5,arrows
⬛,3,geometrical
⬜,3,geometrical
⭐,2,nature
⭕,5,Japanese symbols and objects
〰️,5,Japanese symbols and objects
〽️,5,Japanese symbols and objects
㊗️,5,Japanese symbols and objects
㊙️,5,Japanese symbols and objects
🀄,5,Japanese symbols and objects
🃏,5,symbols & signs
🅰️,3,letters & numbers
🅱️,3,letters & numbers
🅾️,3,letters & numbers
🅿️,3,letters & numbers
🆎,3,letters & numbers
🆑,3,letters & numbers
🆒,3,letters & numbers
🆓,3,letters & numbers
🆔,3,letters & numbers
🆕,3,letters & numbers
🆖,3,letters & numbers
🆗,3,letters & numbers
🆘,3,letters & numbers
🆙,3,letters & numbers
🆚,3,letters & numbers
🈁,5,Japanese symbols and objects
🈂️,5,Japanese symbols and objects
🈚,5,Japanese symbols and objects
🈯,5,Japanese symbols and objects
🈲,5,Japanese symbols and objects
🈳,5,Japanese symbols and objects
🈴,5,Japanese symbols and objects
🈵,5,Japanese symbols and objects
🈶,5,Japanese symbols and objects
🈷️,5,Japanese symbols and objects
🈸,5,Japanese symbols and objects
🈹,5,Japanese symbols and objects
🈺,5,Japanese symbols and objects
🉐,5,Japanese symbols and objects
🉑,5,Japanese symbols and objects
🌀,5,nature
🌁,1,travel-places
🌂,1,clothes & accessories
🌃,1,travel-places
🌄,1,travel-places
🌅,1,travel-places
🌆,1,travel-places
🌇,1,travel-places
🌈,3,nature
🌉,1,travel-places
🌊,1,nature
🌋,1,travel-places
🌌,1,travel-places
🌍,1,nature
🌎,1,nature
🌏,1,nature
🌐,1,nature
🌑,1,nature
🌒,1,nature
🌓,1,nature
🌔,1,nature
🌕,1,nature
🌖,1,nature
🌗,1,nature
🌘,1,nature
🌙,1,nature
🌚,1,nature
🌛,1,nature
🌜,1,nature
🌝,1,nature
🌞,1,nature
🌟,1,nature
🌠,1,nature
🌡️,1,objects
🌤️,1,nature
🌥️,1,nature
🌦️,1,nature
🌧️,1,nature
🌨️,1,nature
🌩️,1,nature
🌪️,1,nature
🌫️,1,nature
🌬️,1,nature
🌭,1,food-drink
🌮,1,food-drink
🌯,1,food-drink
🌰,1,nature
🌱,1,nature
🌲,1,nature
🌳,1,nature
🌴,1,nature
🌵,1,nature
🌶️,1,food-drink
🌷,1,nature
🌸,1,nature
🌹,1,nature
🌺,1,nature
🌻,1,nature
🌼,1,nature
🌽,1,food-drink
🌾,1,nature
🌿,1,nature
🍀,1,nature
🍁,1,nature
🍂,1,nature
🍃,1,nature
🍄,1,nature
🍅,1,food-drink
🍆,1,food-drink
🍇,1,food-drink
🍈,1,food-drink
🍉,1,food-drink
🍊,1,food-drink
🍋,1,food-drink
🍌,1,food-drink
🍍,1,food-drink
